input,amount,currency,amount_normalized,timeframe,timeframe_normalized_days,purpose
I need ₹100000 by Oct 15 2025 to buy a savings.,100000,INR,100000.0,Oct 15 2025,0,savings
Need 2500 for bike by by 15 Oct 2025.,2500,INR,2500.0,by 15 Oct 2025,,bike
I'm aiming to save ₹10000 in 31 Dec 2025 for rent.,10000,INR,10000.0,31 Dec 2025,64,rent
Save ₹1200 for smartphone in over the next 3 months.,1200,INR,1200.0,over the next 3 months,90,phone
Need ₹1200 for emergency fund by in 5 months.,1200,INR,1200.0,in 5 months,150,emergency fund
Save 50000 for savings in this summer.,50000,INR,50000.0,this summer,,savings
I'm aiming to save 25k in ASAP for emergency fund.,25000,INR,25000.0,ASAP,7,emergency fund
Planning to put Rs. 500 towards my car within within 2 weeks.,500,INR,500.0,within 2 weeks,14,car
Need Rs. 5000 for phone by 25-12-2025.,5000,INR,5000.0,by the end of December,,phone
I'm aiming to save 50000 in in 10 days for medical.,50000,INR,50000.0,in 10 days,10,medical
Need Rs. 2500 for bike by Oct 15 2025.,2500,INR,2500.0,Oct 15 2025,0,bike
Need 100000 for medical by within 3 weeks.,100000,INR,100000.0,within 3 weeks,21,medical
Want to set aside 5k for car next in 10 days.,5000,INR,5000.0,in 10 days,10,car
Can I save 5000 over the next July 2026 for savings?,5000,INR,5000.0,July 2026,246,savings
Want to set aside 10k for rent next within 3 weeks.,10000,INR,10000.0,within 3 weeks,21,rent
Want to set aside Rs. 25000 for deposit next in 6 months.,25000,INR,25000.0,in 6 months,180,deposit
I need Rs. 5000 by ASAP to buy a deposit.,5000,INR,5000.0,ASAP,7,deposit
"Planning to put 10,000 towards my car within in 10 days.",10000,INR,10000.0,in 10 days,10,car
I'm aiming to save Rs. 500 in Oct 15 2025 for smartphone.,500,INR,500.0,Oct 15 2025,0,phone
Can I save Rs. 25000 over the next by 15 Oct 2025 for emergency fund?,25000,INR,25000.0,by 15 Oct 2025,,emergency fund
Can I save 5k over the next over the next 3 months for car?,5000,INR,5000.0,over the next 3 months,90,car
Planning to put 25000 towards my smartphone within 15 Oct 2025.,25000,INR,25000.0,15 Oct 2025,0,phone
Want to set aside 10k for car next ASAP.,10000,INR,10000.0,ASAP,7,car
Can I save $25000 over the next by the end of December for groceries?,25000,USD,25000.0,by the end of December,,groceries
"Need 100,000 for medical by over the next 3 months.",100000,INR,100000.0,over the next 3 months,90,medical
Planning to put ₹10000 towards my trip within Oct 15 2025.,10000,INR,10000.0,Oct 15 2025,0,trip
"Planning to put 2,500 towards my laptop within 31 Dec 2025.",2500,INR,2500.0,31 Dec 2025,64,laptop
I need Rs. 2500 by in 6 months to buy a rent.,2500,INR,2500.0,in 6 months,180,rent
Want to set aside 100000 for emergency fund next by 15 Oct 2025.,100000,INR,100000.0,by 15 Oct 2025,,emergency fund
Planning to put 2500 towards my medical within by the end of December.,2500,INR,2500.0,by the end of December,,medical
Gotta save 10000 for tuition ASAP.,10000,INR,10000.0,this summer,,tuition
Want to set aside $500 for bike next in 10 days.,500,USD,500.0,in 10 days,10,bike
"Save 100,000 for mobile in Oct 15 2025.",100000,INR,100000.0,Oct 15 2025,0,phone
Gotta save ₹100000 for vacation ASAP.,100000,INR,100000.0,by the end of December,,vacation
Save 50000 for groceries in 1 Jan 2026.,50000,INR,50000.0,1 Jan 2026,65,groceries
Gotta save ₹50000 for emergency fund ASAP.,50000,INR,50000.0,within 2 weeks,14,emergency fund
Need 100000 for emergency fund by in 10 days.,100000,INR,100000.0,in 10 days,10,emergency fund
Want to set aside ₹5000 for trip next next year.,5000,INR,5000.0,next year,365,trip
Want to set aside ₹50000 for bike next in 5 months.,50000,INR,50000.0,in 5 months,150,bike
"I need 10,000 by 31 Dec 2025 to buy a wedding.",10000,INR,10000.0,31 Dec 2025,64,wedding
Gotta save ₹5000 for mobile ASAP.,5000,INR,5000.0,this summer,,phone
I'm aiming to save $100000 in 15 Oct 2025 for deposit.,100000,USD,100000.0,15 Oct 2025,0,deposit
I need ₹25000 by over the next 3 months to buy a laptop.,25000,INR,25000.0,over the next 3 months,90,laptop
Want to set aside $10000 for vacation next in 5 months.,10000,USD,10000.0,in 5 months,150,vacation
Want to set aside Rs. 50000 for wedding next 31 Dec 2025.,50000,INR,50000.0,31 Dec 2025,64,wedding
Can I save ₹50000 over the next within 3 weeks for bike?,50000,INR,50000.0,within 3 weeks,21,bike
I'm aiming to save 5k in 1 Jan 2026 for rent.,5000,INR,5000.0,1 Jan 2026,65,rent
Planning to put $10000 towards my groceries within within 2 weeks.,10000,USD,10000.0,within 2 weeks,14,groceries
I need 5000 by July 2026 to buy a phone.,5000,INR,5000.0,July 2026,246,phone
Gotta save Rs. 25000 for groceries ASAP.,25000,INR,25000.0,15 Oct 2025,0,groceries
Gotta save $2500 for car ASAP.,2500,USD,2500.0,Oct 15 2025,0,car
Want to set aside 50k for vacation next in 10 days.,50000,INR,50000.0,in 10 days,10,vacation
"Need 100,000 for mobile by 15 Oct 2025.",100000,INR,100000.0,15 Oct 2025,0,phone
Need Rs. 25000 for car by in 6 months.,25000,INR,25000.0,in 6 months,180,car
Want to set aside ₹100000 for groceries next 15 Oct 2025.,100000,INR,100000.0,15 Oct 2025,0,groceries
Save 25k for rent in in 10 days.,25000,INR,25000.0,in 10 days,10,rent
Save ₹2500 for rent in in 10 days.,2500,INR,2500.0,in 10 days,10,rent
"Save 1,200 for car in in 5 months.",1200,INR,1200.0,in 5 months,150,car
Want to set aside $25000 for mobile next by 15 Oct 2025.,25000,USD,25000.0,by 15 Oct 2025,,phone
I'm aiming to save Rs. 10000 in July 2026 for phone.,10000,INR,10000.0,July 2026,246,phone
Save 10000 for medical in in 6 months.,10000,INR,10000.0,in 6 months,180,medical
Can I save fifteen thousand over the next 31 Dec 2025 for laptop?,15000,INR,15000.0,31 Dec 2025,64,laptop
Can I save ₹1200 over the next over the next 3 months for savings?,1200,INR,1200.0,over the next 3 months,90,savings
"Need 1,200 for medical by within 2 weeks.",1200,INR,1200.0,within 2 weeks,14,medical
Want to set aside Rs. 5000 for savings next this summer.,5000,INR,5000.0,this summer,,savings
I need twenty five thousand rupees by July 2026 to buy a car.,25000,INR,25000.0,July 2026,246,car
Need 10000 for tuition by July 2026.,10000,INR,10000.0,July 2026,246,tuition
Can I save ₹100000 over the next 1 Jan 2026 for tuition?,100000,INR,100000.0,1 Jan 2026,65,tuition
Save 5k for trip in in 5 months.,5000,INR,5000.0,in 5 months,150,trip
Save ₹100000 for rent in Oct 15 2025.,100000,INR,100000.0,Oct 15 2025,0,rent
Save Rs. 1200 for deposit in by 15 Oct 2025.,1200,INR,1200.0,by 15 Oct 2025,,deposit
Need fifteen thousand for vacation by July 2026.,15000,INR,15000.0,July 2026,246,vacation
I need ₹25000 by by the end of December to buy a car.,25000,INR,25000.0,by the end of December,,car
"Planning to put 2,500 towards my medical within in 10 days.",2500,INR,2500.0,in 10 days,10,medical
Can I save 100k over the next in 10 days for gift?,100000,INR,100000.0,in 10 days,10,gift
Planning to put ₹500 towards my tuition within over the next 3 months.,500,INR,500.0,over the next 3 months,90,tuition
Gotta save ₹10000 for medical ASAP.,10000,INR,10000.0,by the end of December,,medical
Gotta save twenty five thousand rupees for savings ASAP.,25000,INR,25000.0,by 15 Oct 2025,,savings
I need $2500 by in 5 months to buy a smartphone.,2500,USD,2500.0,in 5 months,150,phone
I need 5000 by this summer to buy a medical.,5000,INR,5000.0,this summer,,medical
Save ₹500 for laptop in in 10 days.,500,INR,500.0,in 10 days,10,laptop
Want to set aside ten thousand for bike next this summer.,10000,INR,10000.0,this summer,,bike
Save 25000 for trip in in 10 days.,25000,INR,25000.0,in 10 days,10,trip
Need 25000 for trip by over the next 3 months.,25000,INR,25000.0,over the next 3 months,90,trip
Want to set aside $500 for emergency fund next in 10 days.,500,USD,500.0,in 10 days,10,emergency fund
Want to set aside 100k for vacation next 31 Dec 2025.,100000,INR,100000.0,31 Dec 2025,64,vacation
Want to set aside fifteen thousand for laptop next this summer.,15000,INR,15000.0,this summer,,laptop
Planning to put Rs. 2500 towards my tuition within within 2 weeks.,2500,INR,2500.0,within 2 weeks,14,tuition
"Gotta save 1,200 for mobile ASAP.",1200,INR,1200.0,by 15 Oct 2025,,phone
Gotta save 100000 for savings ASAP.,100000,INR,100000.0,in 5 months,150,savings
"Planning to put 10,000 towards my wedding within Oct 15 2025.",10000,INR,10000.0,Oct 15 2025,0,wedding
I need 100000 by in 10 days to buy a deposit.,100000,INR,100000.0,in 10 days,10,deposit
I'm aiming to save ₹50000 in ASAP for trip.,50000,INR,50000.0,ASAP,7,trip
I'm aiming to save 5000 in 31 Dec 2025 for phone.,5000,INR,5000.0,31 Dec 2025,64,phone
Need ₹5000 for vacation by by 15 Oct 2025.,5000,INR,5000.0,by 15 Oct 2025,,vacation
Need $10000 for car by 25-12-2025.,10000,USD,10000.0,25-12-2025,58,car
"Need 100,000 for tuition by in 10 days.",100000,INR,100000.0,in 10 days,10,tuition
Want to set aside ten thousand for trip next within 3 weeks.,10000,INR,10000.0,within 3 weeks,21,trip
"I need 25,000 by July 2026 to buy a medical.",25000,INR,25000.0,July 2026,246,medical
Gotta save 500 for vacation ASAP.,500,INR,500.0,this summer,,vacation
Want to set aside Rs. 500 for laptop next within 2 weeks.,500,INR,500.0,within 2 weeks,14,laptop
Want to set aside Rs. 1200 for trip next within 3 weeks.,1200,INR,1200.0,within 3 weeks,21,trip
Want to set aside fifteen thousand for tuition next 1 Jan 2026.,15000,INR,15000.0,1 Jan 2026,65,tuition
I'm aiming to save $25000 in within 3 weeks for laptop.,25000,USD,25000.0,within 3 weeks,21,laptop
Can I save ₹2500 over the next by the end of December for phone?,2500,INR,2500.0,by the end of December,,phone
I need $10000 by next year to buy a vacation.,10000,USD,10000.0,next year,365,vacation
"Gotta save 1,200 for smartphone ASAP.",1200,INR,1200.0,this summer,,phone
Save Rs. 10000 for trip in by 15 Oct 2025.,10000,INR,10000.0,by 15 Oct 2025,,trip
Can I save ₹100000 over the next this summer for tuition?,100000,INR,100000.0,this summer,,tuition
Can I save ₹10000 over the next in 6 months for laptop?,10000,INR,10000.0,in 6 months,180,laptop
Gotta save 25k for gift ASAP.,25000,INR,25000.0,July 2026,246,gift
Planning to put 100000 towards my wedding within by the end of December.,100000,INR,100000.0,by the end of December,,wedding
Want to set aside 10k for savings next Oct 15 2025.,10000,INR,10000.0,Oct 15 2025,0,savings
Planning to put ₹500 towards my emergency fund within in 6 months.,500,INR,500.0,in 6 months,180,emergency fund
"Can I save 2,500 over the next 15 Oct 2025 for phone?",2500,INR,2500.0,15 Oct 2025,0,phone
Can I save ten thousand over the next 25-12-2025 for mobile?,10000,INR,10000.0,25-12-2025,58,phone
I need ₹2500 by July 2026 to buy a vacation.,2500,INR,2500.0,July 2026,246,vacation
Gotta save 10000 for bike ASAP.,10000,INR,10000.0,15 Oct 2025,0,bike
Gotta save 100000 for vacation ASAP.,100000,INR,100000.0,over the next 3 months,90,vacation
Planning to put 2500 towards my gift within in 10 days.,2500,INR,2500.0,in 10 days,10,gift
Gotta save Rs. 1200 for groceries ASAP.,1200,INR,1200.0,25-12-2025,58,groceries
Want to set aside Rs. 10000 for medical next 25-12-2025.,10000,INR,10000.0,25-12-2025,58,medical
I need 5k by next year to buy a emergency fund.,5000,INR,5000.0,next year,365,emergency fund
I'm aiming to save 5k in over the next 3 months for groceries.,5000,INR,5000.0,over the next 3 months,90,groceries
I'm aiming to save 5000 in by the end of December for bike.,5000,INR,5000.0,by the end of December,,bike
"Gotta save 5,000 for medical ASAP.",5000,INR,5000.0,within 3 weeks,21,medical
Gotta save $10000 for vacation ASAP.,10000,USD,10000.0,by 15 Oct 2025,,vacation
Save Rs. 1200 for phone in in 6 months.,1200,INR,1200.0,in 6 months,180,phone
I'm aiming to save ₹5000 in 15 Oct 2025 for smartphone.,5000,INR,5000.0,15 Oct 2025,0,phone
Want to set aside 10k for emergency fund next within 2 weeks.,10000,INR,10000.0,within 2 weeks,14,emergency fund
"Want to set aside 10,000 for savings next in 10 days.",10000,INR,10000.0,in 10 days,10,savings
Want to set aside $100000 for vacation next over the next 3 months.,100000,USD,100000.0,over the next 3 months,90,vacation
I need $100000 by within 3 weeks to buy a bike.,100000,USD,100000.0,within 3 weeks,21,bike
"Want to set aside 5,000 for laptop next 15 Oct 2025.",5000,INR,5000.0,15 Oct 2025,0,laptop
Gotta save $10000 for vacation ASAP.,10000,USD,10000.0,July 2026,246,vacation
I'm aiming to save $25000 in 25-12-2025 for smartphone.,25000,USD,25000.0,25-12-2025,58,phone
Can I save 25k over the next by 15 Oct 2025 for medical?,25000,INR,25000.0,by 15 Oct 2025,,medical
Gotta save 100000 for mobile ASAP.,100000,INR,100000.0,this summer,,phone
Can I save $2500 over the next by 15 Oct 2025 for deposit?,2500,USD,2500.0,by 15 Oct 2025,,deposit
I'm aiming to save 25k in 1 Jan 2026 for savings.,25000,INR,25000.0,1 Jan 2026,65,savings
Planning to put Rs. 2500 towards my deposit within in 6 months.,2500,INR,2500.0,in 6 months,180,deposit
"Can I save 100,000 over the next 1 Jan 2026 for medical?",100000,INR,100000.0,1 Jan 2026,65,medical
Save 5k for tuition in this summer.,5000,INR,5000.0,this summer,,tuition
Need 5k for phone by 15 Oct 2025.,5000,INR,5000.0,15 Oct 2025,0,phone
Planning to put $2500 towards my laptop within in 10 days.,2500,USD,2500.0,in 10 days,10,laptop
I'm aiming to save Rs. 25000 in in 5 months for rent.,25000,INR,25000.0,in 5 months,150,rent
Gotta save twenty five thousand rupees for medical ASAP.,25000,INR,25000.0,25-12-2025,58,medical
Save 2500 for rent in 31 Dec 2025.,2500,INR,2500.0,31 Dec 2025,64,rent
Gotta save 100k for medical ASAP.,100000,INR,100000.0,25-12-2025,58,medical
I need Rs. 100000 by 25-12-2025 to buy a car.,100000,INR,100000.0,25-12-2025,58,car
Planning to put $5000 towards my laptop within by 15 Oct 2025.,5000,USD,5000.0,by 15 Oct 2025,,laptop
Save $25000 for emergency fund in in 5 months.,25000,USD,25000.0,in 5 months,150,emergency fund
Need ₹2500 for tuition by over the next 3 months.,2500,INR,2500.0,over the next 3 months,90,tuition
Want to set aside ₹100000 for gift next within 3 weeks.,100000,INR,100000.0,within 3 weeks,21,gift
Can I save 50000 over the next 15 Oct 2025 for deposit?,50000,INR,50000.0,15 Oct 2025,0,deposit
Can I save five k over the next July 2026 for vacation?,5,INR,5.0,July 2026,246,vacation
"Save 50,000 for rent in 25-12-2025.",50000,INR,50000.0,25-12-2025,58,rent
I need 10000 by 15 Oct 2025 to buy a gift.,10000,INR,10000.0,15 Oct 2025,0,gift
Planning to put $50000 towards my car within by the end of December.,50000,USD,50000.0,by the end of December,,car
"Planning to put 25,000 towards my emergency fund within by 15 Oct 2025.",25000,INR,25000.0,by 15 Oct 2025,,emergency fund
I'm aiming to save 25k in in 5 months for mobile.,25000,INR,25000.0,in 5 months,150,phone
Can I save ₹5000 over the next 25-12-2025 for bike?,5000,INR,5000.0,25-12-2025,58,bike
Gotta save 5000 for bike ASAP.,5000,INR,5000.0,ASAP,7,bike
Need Rs. 50000 for bike by Oct 15 2025.,50000,INR,50000.0,Oct 15 2025,0,bike
Can I save $1200 over the next 15 Oct 2025 for tuition?,1200,USD,1200.0,15 Oct 2025,0,tuition
I'm aiming to save ten thousand in by 15 Oct 2025 for trip.,10000,INR,10000.0,by 15 Oct 2025,,trip
"Save 2,500 for vacation in in 6 months.",2500,INR,2500.0,in 6 months,180,vacation
Save $10000 for emergency fund in 15 Oct 2025.,10000,USD,10000.0,15 Oct 2025,0,emergency fund
Need Rs. 500 for emergency fund by July 2026.,500,INR,500.0,by the end of December,,emergency fund
Want to set aside 500 for trip next this summer.,500,INR,500.0,this summer,,trip
"Planning to put 100,000 towards my car within in 5 months.",100000,INR,100000.0,in 5 months,150,car
I need $2500 by over the next 3 months to buy a vacation.,2500,USD,2500.0,over the next 3 months,90,vacation
Save 5k for gift in in 6 months.,5000,INR,5000.0,in 6 months,180,gift
Gotta save twenty five thousand rupees for deposit ASAP.,25000,INR,25000.0,ASAP,7,deposit
I'm aiming to save twenty five thousand rupees in by the end of December for deposit.,25000,INR,25000.0,by the end of December,,deposit
"Need 25,000 for phone by Oct 15 2025.",25000,INR,25000.0,Oct 15 2025,0,phone
Want to set aside Rs. 100000 for mobile next in 5 months.,100000,INR,100000.0,in 5 months,150,phone
Save Rs. 25000 for groceries in ASAP.,25000,INR,25000.0,ASAP,7,groceries
"Gotta save 1,200 for mobile ASAP.",1200,INR,1200.0,in 6 months,180,phone
"Want to set aside 100,000 for deposit next by the end of December.",100000,INR,100000.0,by the end of December,,deposit
I'm aiming to save ₹25000 in July 2026 for smartphone.,25000,INR,25000.0,July 2026,246,phone
"Want to set aside 5,000 for trip next within 3 weeks.",5000,INR,5000.0,within 3 weeks,21,trip
Can I save ₹25000 over the next by 15 Oct 2025 for rent?,25000,INR,25000.0,by 15 Oct 2025,,rent
I'm aiming to save ₹10000 in ASAP for tuition.,10000,INR,10000.0,ASAP,7,tuition
Planning to put $5000 towards my wedding within in 6 months.,5000,USD,5000.0,in 6 months,180,wedding
Save ₹2500 for trip in within 2 weeks.,2500,INR,2500.0,within 2 weeks,14,trip
Gotta save five k for car ASAP.,5,INR,5.0,in 6 months,180,car
Gotta save 100k for gift ASAP.,100000,INR,100000.0,in 10 days,10,gift
